Altium Designer Pick and Place Locations
G:\03 DMESC\01 PCB\DMESC\Project Outputs for DMESC\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       06/09/21
Time:       09:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Y1","8M","BottomLayer","3225","3018.819","1723.740","270","Crystal Oscillator"
"U5","LM321","BottomLayer","SOT23-5","2489.291","1682.401","360","单路运放"
"U4","STM32F103C6T6","TopLayer","STM32F103C6T6","2660.551","1558.504","135",""
"U3","UTC78D05","BottomLayer","TO-252","2918.850","1196.850","90","线性稳压"
"U2","UTC78D05","BottomLayer","TO-252","2397.756","1196.181","270","线性稳压"
"U1","ME6212C33M5G","TopLayer","ME6212C33M5G","3032.598","1125.315","90",""
"T4","testpoint","TopLayer","TESTPOINT","3028.661","1719.803","0","测试点用焊盘代替，不需要元器件"
"T3","SS8050","TopLayer","SOT-23","3112.323","2278.858","360","NPN三极管"
"T2","SS8050","TopLayer","SOT-23","2619.212","2273.937","360","NPN三极管"
"T1","SS8050","TopLayer","SOT-23","2286.535","2273.937","360","NPN三极管"
"R40","1M","BottomLayer","R0603","2917.441","1721.772","90","0603"
"R39","4.7K","TopLayer","R0603","2478.464","2276.890","270","Resistor"
"R38","4.7K","TopLayer","R0603","2810.157","2292.638","270","Resistor"
"R37","4.7K","TopLayer","R0603","2911.535","2292.638","270","Resistor"
"R36","4.7K","TopLayer","R0603","2912.519","2133.189","270","Resistor"
"R35","20K","TopLayer","R0603","2990.275","2129.252","270","Resistor"
"R34","51K","BottomLayer","R0603","2491.260","1770.000","360","Resistor"
"R33","100k","TopLayer","R0603","2446.968","1727.677","270","0603"
"R32","4.7K","TopLayer","R0603","2782.598","2105.630","180","Resistor"
"R31","20K","TopLayer","R0603","2781.614","2187.323","360","Resistor"
"R30","1K","BottomLayer","R0603","2343.622","1719.803","360","Resistor"
"R29","4.7K","TopLayer","R0603","2478.464","2145.000","270","Resistor"
"R28","20K","TopLayer","R0603","2405.630","2145.000","270","Resistor"
"R27","1K","BottomLayer","R0603","2342.638","1644.016","360","Resistor"
"R26","51K","BottomLayer","R0603","2342.638","1570.197","180","Resistor"
"R25","0.001R","BottomLayer","2512","2191.063","1658.226","270","11毫欧采样电阻"
"R24","2K","TopLayer","R0603","3117.244","1984.567","180","Resistor"
"R23","100R","TopLayer","R0603","3118.228","1908.779","360","Resistor"
"R22","10K","TopLayer","R0603","3118.228","1832.992","360","Resistor"
"R21","470R","TopLayer","R0603","3084.764","2388.110","180","Resistor"
"R20","1K","TopLayer","R0603","3117.244","2156.811","360","Resistor"
"R19","10K","TopLayer","R0603","3116.260","2096.772","360","Resistor"
"R18","2K","TopLayer","R0603","2657.598","2031.811","180","Resistor"
"R17","100R","TopLayer","R0603","2659.567","1960.945","180","Resistor"
"R16","100K","TopLayer","R0603","2242.244","1248.346","90","Resistor"
"R15","10K","TopLayer","R0603","2657.598","1893.031","180","Resistor"
"R14","4.7K","TopLayer","R0603","2319.016","1380.240","90","Resistor"
"R13","1K","TopLayer","R0603","2621.181","2162.716","180","Resistor"
"R12","100K","TopLayer","R0603","2814.094","1302.480","270","0603"
"R11","100K","TopLayer","R0603","2885.945","1301.496","270","0603"
"R10","430K","TopLayer","R0603","2244.212","1380.236","90","Resistor"
"R9","470R","TopLayer","R0603","2662.519","2388.110","180","Resistor"
"R8","10K","TopLayer","R0603","2620.197","2099.724","180","Resistor"
"R7","2K","TopLayer","R0603","2285.551","1911.732","180","Resistor"
"R6","100R","TopLayer","R0603","2385.945","1871.378","90","Resistor"
"R5","10K","TopLayer","R0603","2285.551","1825.118","180","Resistor"
"R4","1K","TopLayer","R0603","2287.519","2148.937","180","Resistor"
"R3","10K","TopLayer","R0603","2287.519","2074.134","180","Resistor"
"R2","470R","TopLayer","R0603","2258.976","2388.110","180","Resistor"
"    B","510R","TopLayer","R0603","2986.338","1597.756","270","0603"
"Q6","RU3560L","BottomLayer","TO-252","3064.252","2080.000","180","NMOSFET"
"Q5","RU40L10L","BottomLayer","TO-252","3064.252","2607.197","180","PMOSFET"
"Q4","RU3560L","BottomLayer","TO-252","2660.551","2080.000","180","NMOSFET"
"Q3","RU40L10L","BottomLayer","TO-252","2660.551","2607.197","180","PMOSFET"
"Q2","RU3560L","BottomLayer","TO-252","2256.850","2080.000","180","NMOSFET"
"Q1","RU40L10L","BottomLayer","TO-252","2256.850","2607.197","180","PMOSFET"
"P3","PPM","BottomLayer","HDR1X3","2660.671","1408.779","180","Header, 3-Pin"
"P2","SWD","BottomLayer","HDR1X4","3160.551","1549.724","270","Header, 4-Pin"
"P1","USART","TopLayer","HDR1X4","3161.535","1549.724","270","Header, 4-Pin"
"D0","LED","TopLayer","0603LED","3053.267","1622.362","90",""
"C20","20pF","BottomLayer","C0603","3010.949","1613.504","180","0603"
"C16","20pF","BottomLayer","C0603","3028.665","1829.055","180","0603"
"C15","100nF","TopLayer","C0603","2394.803","1558.390","270","0.1uF"
"C14","100nF","TopLayer","C0603","2545.394","1265.083","270","0.1uF"
"C13","100nF","TopLayer","C0603","2917.437","1710.945","360","0.1uF"
"C12","100nF","TopLayer","C0603","2915.468","1791.653","180","0.1uF"
"C11","100nF","TopLayer","C0603","2945.984","1428.460","90","0.1uF"
"C10","100nF","TopLayer","C0603","2320.000","1248.350","90","Capacitor"
"C8","1uF","TopLayer","C0603","2911.535","1122.366","270","1uF"
"C7","100nF","TopLayer","C0603","2694.016","1258.193","90","贴片电容"
"C6","470nF","TopLayer","C0603","2778.661","1134.169","270","贴片电容"
"C5","470nF","TopLayer","C0603","2445.984","1270.004","90","贴片电容"
"C4","100nF","TopLayer","C0603","2444.016","1136.146","270","贴片电容"
"C3","100nF","TopLayer","C0603","3031.610","1246.378","180","0.1uF"
"C2","1uF","TopLayer","C0603","3030.626","1331.024","180","1uF"
"C1","100nF","BottomLayer","C0603","3059.173","1411.728","90","0.1uF"
"Y1","8M","BottomLayer","3225","3018.819","3692.244","270","Crystal Oscillator"
"U5","LM321","BottomLayer","SOT23-5","2489.291","3650.905","360","单路运放"
"U4","STM32F103C6T6","TopLayer","STM32F103C6T6","2660.551","3527.008","135",""
"U3","UTC78D05","BottomLayer","TO-252","2918.850","3165.354","90","线性稳压"
"U2","UTC78D05","BottomLayer","TO-252","2397.756","3164.685","270","线性稳压"
"U1","ME6212C33M5G","TopLayer","ME6212C33M5G","3032.598","3093.819","90",""
"T4","testpoint","TopLayer","TESTPOINT","3028.661","3688.307","0","测试点用焊盘代替，不需要元器件"
"T3","SS8050","TopLayer","SOT-23","3112.323","4247.362","360","NPN三极管"
"T2","SS8050","TopLayer","SOT-23","2619.212","4242.441","360","NPN三极管"
"T1","SS8050","TopLayer","SOT-23","2286.535","4242.441","360","NPN三极管"
"R40","1M","BottomLayer","R0603","2917.441","3690.276","90","0603"
"R39","4.7K","TopLayer","R0603","2478.464","4245.394","270","Resistor"
"R38","4.7K","TopLayer","R0603","2810.157","4261.142","270","Resistor"
"R37","4.7K","TopLayer","R0603","2911.535","4261.142","270","Resistor"
"R36","4.7K","TopLayer","R0603","2912.519","4101.693","270","Resistor"
"R35","20K","TopLayer","R0603","2990.275","4097.756","270","Resistor"
"R34","51K","BottomLayer","R0603","2491.260","3738.504","360","Resistor"
"R33","100k","TopLayer","R0603","2446.968","3696.181","270","0603"
"R32","4.7K","TopLayer","R0603","2782.598","4074.134","180","Resistor"
"R31","20K","TopLayer","R0603","2781.614","4155.827","360","Resistor"
"R30","1K","BottomLayer","R0603","2343.622","3688.307","360","Resistor"
"R29","4.7K","TopLayer","R0603","2478.464","4113.504","270","Resistor"
"R28","20K","TopLayer","R0603","2405.630","4113.504","270","Resistor"
"R27","1K","BottomLayer","R0603","2342.638","3612.519","360","Resistor"
"R26","51K","BottomLayer","R0603","2342.638","3538.701","180","Resistor"
"R25","0.001R","BottomLayer","2512","2191.063","3626.729","270","11毫欧采样电阻"
"R24","2K","TopLayer","R0603","3117.244","3953.071","180","Resistor"
"R23","100R","TopLayer","R0603","3118.228","3877.283","360","Resistor"
"R22","10K","TopLayer","R0603","3118.228","3801.496","360","Resistor"
"R21","470R","TopLayer","R0603","3084.764","4356.614","180","Resistor"
"R20","1K","TopLayer","R0603","3117.244","4125.315","360","Resistor"
"R19","10K","TopLayer","R0603","3116.260","4065.276","360","Resistor"
"R18","2K","TopLayer","R0603","2657.598","4000.315","180","Resistor"
"R17","100R","TopLayer","R0603","2659.567","3929.449","180","Resistor"
"R16","100K","TopLayer","R0603","2242.244","3216.850","90","Resistor"
"R15","10K","TopLayer","R0603","2657.598","3861.535","180","Resistor"
"R14","4.7K","TopLayer","R0603","2319.016","3348.744","90","Resistor"
"R13","1K","TopLayer","R0603","2621.181","4131.220","180","Resistor"
"R12","100K","TopLayer","R0603","2814.094","3270.984","270","0603"
"R11","100K","TopLayer","R0603","2885.945","3270.000","270","0603"
"R10","430K","TopLayer","R0603","2244.212","3348.740","90","Resistor"
"R9","470R","TopLayer","R0603","2662.519","4356.614","180","Resistor"
"R8","10K","TopLayer","R0603","2620.197","4068.228","180","Resistor"
"R7","2K","TopLayer","R0603","2285.551","3880.236","180","Resistor"
"R6","100R","TopLayer","R0603","2385.945","3839.882","90","Resistor"
"R5","10K","TopLayer","R0603","2285.551","3793.622","180","Resistor"
"R4","1K","TopLayer","R0603","2287.519","4117.441","180","Resistor"
"R3","10K","TopLayer","R0603","2287.519","4042.638","180","Resistor"
"R2","470R","TopLayer","R0603","2258.976","4356.614","180","Resistor"
"    B","510R","TopLayer","R0603","2986.338","3566.260","270","0603"
"Q6","RU3560L","BottomLayer","TO-252","3064.252","4048.504","180","NMOSFET"
"Q5","RU40L10L","BottomLayer","TO-252","3064.252","4575.700","180","PMOSFET"
"Q4","RU3560L","BottomLayer","TO-252","2660.551","4048.504","180","NMOSFET"
"Q3","RU40L10L","BottomLayer","TO-252","2660.551","4575.700","180","PMOSFET"
"Q2","RU3560L","BottomLayer","TO-252","2256.850","4048.504","180","NMOSFET"
"Q1","RU40L10L","BottomLayer","TO-252","2256.850","4575.700","180","PMOSFET"
"P3","PPM","BottomLayer","HDR1X3","2660.671","3377.283","180","Header, 3-Pin"
"P2","SWD","BottomLayer","HDR1X4","3160.551","3518.228","270","Header, 4-Pin"
"P1","USART","TopLayer","HDR1X4","3161.535","3518.228","270","Header, 4-Pin"
"D0","LED","TopLayer","0603LED","3053.267","3590.866","90",""
"C20","20pF","BottomLayer","C0603","3010.949","3582.008","180","0603"
"C16","20pF","BottomLayer","C0603","3028.665","3797.559","180","0603"
"C15","100nF","TopLayer","C0603","2394.803","3526.894","270","0.1uF"
"C14","100nF","TopLayer","C0603","2545.394","3233.587","270","0.1uF"
"C13","100nF","TopLayer","C0603","2917.437","3679.449","360","0.1uF"
"C12","100nF","TopLayer","C0603","2915.468","3760.157","180","0.1uF"
"C11","100nF","TopLayer","C0603","2945.984","3396.964","90","0.1uF"
"C10","100nF","TopLayer","C0603","2320.000","3216.854","90","Capacitor"
"C8","1uF","TopLayer","C0603","2911.535","3090.870","270","1uF"
"C7","100nF","TopLayer","C0603","2694.016","3226.697","90","贴片电容"
"C6","470nF","TopLayer","C0603","2778.661","3102.673","270","贴片电容"
"C5","470nF","TopLayer","C0603","2445.984","3238.508","90","贴片电容"
"C4","100nF","TopLayer","C0603","2444.016","3104.650","270","贴片电容"
"C3","100nF","TopLayer","C0603","3031.610","3214.882","180","0.1uF"
"C2","1uF","TopLayer","C0603","3030.626","3299.527","180","1uF"
"C1","100nF","BottomLayer","C0603","3059.173","3380.232","90","0.1uF"
"Y1","8M","BottomLayer","3225","4199.921","1723.740","270","Crystal Oscillator"
"U5","LM321","BottomLayer","SOT23-5","3670.394","1682.401","360","单路运放"
"U4","STM32F103C6T6","TopLayer","STM32F103C6T6","3841.653","1558.504","135",""
"U3","UTC78D05","BottomLayer","TO-252","4099.953","1196.850","90","线性稳压"
"U2","UTC78D05","BottomLayer","TO-252","3578.858","1196.181","270","线性稳压"
"U1","ME6212C33M5G","TopLayer","ME6212C33M5G","4213.701","1125.315","90",""
"T4","testpoint","TopLayer","TESTPOINT","4209.764","1719.803","0","测试点用焊盘代替，不需要元器件"
"T3","SS8050","TopLayer","SOT-23","4293.425","2278.858","360","NPN三极管"
"T2","SS8050","TopLayer","SOT-23","3800.315","2273.937","360","NPN三极管"
"T1","SS8050","TopLayer","SOT-23","3467.638","2273.937","360","NPN三极管"
"R40","1M","BottomLayer","R0603","4098.543","1721.772","90","0603"
"R39","4.7K","TopLayer","R0603","3659.567","2276.890","270","Resistor"
"R38","4.7K","TopLayer","R0603","3991.260","2292.638","270","Resistor"
"R37","4.7K","TopLayer","R0603","4092.638","2292.638","270","Resistor"
"R36","4.7K","TopLayer","R0603","4093.622","2133.189","270","Resistor"
"R35","20K","TopLayer","R0603","4171.378","2129.252","270","Resistor"
"R34","51K","BottomLayer","R0603","3672.362","1770.000","360","Resistor"
"R33","100k","TopLayer","R0603","3628.071","1727.677","270","0603"
"R32","4.7K","TopLayer","R0603","3963.701","2105.630","180","Resistor"
"R31","20K","TopLayer","R0603","3962.716","2187.323","360","Resistor"
"R30","1K","BottomLayer","R0603","3524.724","1719.803","360","Resistor"
"R29","4.7K","TopLayer","R0603","3659.567","2145.000","270","Resistor"
"R28","20K","TopLayer","R0603","3586.732","2145.000","270","Resistor"
"R27","1K","BottomLayer","R0603","3523.740","1644.016","360","Resistor"
"R26","51K","BottomLayer","R0603","3523.740","1570.197","180","Resistor"
"R25","0.001R","BottomLayer","2512","3372.165","1658.226","270","11毫欧采样电阻"
"R24","2K","TopLayer","R0603","4298.346","1984.567","180","Resistor"
"R23","100R","TopLayer","R0603","4299.331","1908.779","360","Resistor"
"R22","10K","TopLayer","R0603","4299.331","1832.992","360","Resistor"
"R21","470R","TopLayer","R0603","4265.866","2388.110","180","Resistor"
"R20","1K","TopLayer","R0603","4298.346","2156.811","360","Resistor"
"R19","10K","TopLayer","R0603","4297.362","2096.772","360","Resistor"
"R18","2K","TopLayer","R0603","3838.701","2031.811","180","Resistor"
"R17","100R","TopLayer","R0603","3840.669","1960.945","180","Resistor"
"R16","100K","TopLayer","R0603","3423.346","1248.346","90","Resistor"
"R15","10K","TopLayer","R0603","3838.701","1893.031","180","Resistor"
"R14","4.7K","TopLayer","R0603","3500.118","1380.240","90","Resistor"
"R13","1K","TopLayer","R0603","3802.283","2162.716","180","Resistor"
"R12","100K","TopLayer","R0603","3995.197","1302.480","270","0603"
"R11","100K","TopLayer","R0603","4067.047","1301.496","270","0603"
"R10","430K","TopLayer","R0603","3425.315","1380.236","90","Resistor"
"R9","470R","TopLayer","R0603","3843.622","2388.110","180","Resistor"
